content_id,client_id,baseline_score,reason_code,impressions_90d,ctr,days_since_last_update,is_declining_label
content_cf56e2e2e282,client_7f2253d7e2,61678,stale_but_visible,61678,0.15,194,1
content_7368877ea310,client_7f2253d7e2,59472,stale_but_visible,59472,0.13,194,1
content_1bfaa38ff26c,client_7f2253d7e2,25715,stale_but_visible,25715,0.23,194,1
content_5feee3994adb,client_7f2253d7e2,15624,"stale_but_visible,low_ctr_visible_page",7812,0.01,194,1
content_0a91db491d14,client_7f2253d7e2,13299,stale_but_visible,13299,0.49,193,1
content_b16bd7307b39,client_7f2253d7e2,9180,"stale_but_visible,low_ctr_visible_page",4590,0.0,194,1
content_c2d929d83eaa,client_7f2253d7e2,7558,stale_but_visible,7558,0.2,193,1
content_fe16a55cd13d,client_7f2253d7e2,4556,stale_but_visible,4556,0.33,194,1
content_ecb6215e79fd,client_7f2253d7e2,4429,stale_but_visible,4429,0.38,194,1
content_928af3e22c80,client_7f2253d7e2,1697,stale_but_visible,1697,0.12,193,1
content_e3ff1b093148,client_d029fa3a95,1408,stale_but_visible,1408,0.28,183,1
content_bdbec75c1148,client_7f2253d7e2,1316,stale_but_visible,1316,0.15,194,0
content_074ba6ead17b,client_d029fa3a95,1066,"stale_but_visible,low_ctr_visible_page",533,0.0,183,1
content_7f116ae1f6f5,client_9400f1b21c,954,stale_but_visible,954,0.42,301,1
content_77d4d5930e5e,client_7f2253d7e2,828,stale_but_visible,828,0.24,194,1
content_72496874f806,client_4ec9599fc2,821,stale_but_visible,821,0.24,301,1
content_6226ee6adc91,client_d029fa3a95,545,stale_but_visible,545,0.18,183,1
content_e3393b0b5359,client_4e07408562,0,no_flag,457,0.0,13,0
content_f21e4a700f92,client_19581e27de,0,low_ctr_visible_page,555,0.0,20,1
content_ccaae106ecb6,client_6208ef0f77,0,low_ctr_visible_page,43654,0.06,104,0
content_b8545cf96378,client_6208ef0f77,0,low_ctr_visible_page,1899,0.0,104,1
content_6a21f0fe9d71,client_d4735e3a26,0,no_flag,1,0.0,20,0
content_c42c3746eeff,client_d029fa3a95,0,no_flag,88,1.14,20,0
content_6dffb8bfe857,client_3fdba35f04,0,low_ctr_visible_page,3479,0.06,104,1
content_adc2e42704c9,client_3fdba35f04,0,low_ctr_visible_page,2690,0.0,104,1
content_8cce8bc6aef7,client_d4735e3a26,0,no_flag,1,0.0,20,0
content_9fecdbcad47a,client_f369cb89fc,0,no_flag,2,0.0,8,0
content_93a0ca28cfe2,client_f369cb89fc,0,no_flag,1,0.0,20,0
content_e6b69b74d3dc,client_f369cb89fc,0,no_flag,24,0.0,20,0
content_a5b1a25f5b80,client_4e07408562,0,no_flag,188,0.0,104,0
content_d49833df5a55,client_2c624232cd,0,no_flag,54,0.0,22,1
content_9718af726c31,client_4ec9599fc2,0,no_flag,774,0.26,20,1
content_baf61a035cd0,client_2c624232cd,0,no_flag,224,0.0,11,0
content_76fb7203cd85,client_19581e27de,0,no_flag,32243,0.18,104,1
content_8a3661028440,client_19581e27de,0,no_flag,10662,0.26,104,0
content_4e839acad179,client_19581e27de,0,no_flag,3657,0.16,22,1
content_8414e2cf0509,client_3fdba35f04,0,low_ctr_visible_page,1957,0.0,104,1
content_992b2bb0a7e3,client_3fdba35f04,0,no_flag,11470,0.13,26,1
content_8c50c8b76450,client_8527a891e2,0,no_flag,1772,0.17,104,0
content_c5fe0417cdb0,client_6208ef0f77,0,no_flag,1321,0.38,104,0
content_fdbbe515ad84,client_19581e27de,0,no_flag,6553,0.24,20,0
content_615f9ffe9296,client_6208ef0f77,0,no_flag,3701,0.3,104,1
content_4ae1a96e21bf,client_3fdba35f04,0,low_ctr_visible_page,804,0.0,19,0
content_bedb21f7ae4c,client_19581e27de,0,no_flag,7129,0.17,20,1
content_a5f950cbaee0,client_19581e27de,0,no_flag,6076,0.43,20,1
content_a83ea5213bce,client_4e07408562,0,no_flag,13259,0.37,25,0
content_201dc4530cf2,client_19581e27de,0,low_ctr_visible_page,1486,0.0,104,1
content_989a6f7fa584,client_a88a7902cb,0,no_flag,969,0.1,20,0
content_04e4758a92b5,client_3fdba35f04,0,low_ctr_visible_page,729,0.0,19,1
content_897e2f86b975,client_e629fa6598,0,low_ctr_visible_page,519,0.0,22,1
content_ecf1b62d0c70,client_f74efabef1,0,no_flag,532,0.19,20,0
content_941418657a71,client_9400f1b21c,0,no_flag,253,0.0,20,1
content_bcdc38cb4fc0,client_f369cb89fc,0,no_flag,79,0.0,20,0
content_cee8216c6ed1,client_bbb965ab0c,0,no_flag,1926,0.31,15,1
content_1f7ffc806e93,client_19581e27de,0,low_ctr_visible_page,826,0.0,22,0
content_bc5cdb69aee6,client_a88a7902cb,0,no_flag,16,0.0,20,1
content_e3258a34514b,client_4e07408562,0,no_flag,3267,0.09,13,0
content_90ff1a5c0f18,client_98a3ab7c34,0,no_flag,7,0.0,1,1
content_09cfe2ef706d,client_02d20bbd7e,0,no_flag,34,0.0,104,1
content_962b56a54c38,client_25fc0e7096,0,no_flag,3,0.0,8,0
content_d3875f966da4,client_4ec9599fc2,0,low_ctr_visible_page,517,0.0,104,1
content_b2b2f104d32c,client_d4735e3a26,0,no_flag,522,0.38,20,1
content_245cd6e5a3e8,client_19581e27de,0,no_flag,1391,0.07,22,1
content_ec0e0c58291f,client_19581e27de,0,no_flag,772,0.13,22,0
content_3eab3a7d1bda,client_3fdba35f04,0,no_flag,2965,0.1,20,1
content_f18c12f239fd,client_349c41201b,0,no_flag,10142,0.98,20,0
content_e4d10f7525ef,client_6208ef0f77,0,low_ctr_visible_page,4877,0.02,104,1
content_029b4a49a9b9,client_19581e27de,0,no_flag,10725,0.44,104,0
content_2e86b8f3e531,client_6208ef0f77,0,no_flag,104,0.0,104,1
content_6f3297163cca,client_349c41201b,0,no_flag,15397,0.09,20,1
content_cf78de043d6f,client_624b60c58c,0,no_flag,5,0.0,8,1
content_68c884b7e9bb,client_3fdba35f04,0,no_flag,1633,0.73,14,1
content_1557a5e9baea,client_4ec9599fc2,0,no_flag,569,0.35,20,1
content_0ca879daf460,client_25fc0e7096,0,no_flag,3,0.0,8,0
content_afabddf1151c,client_4e07408562,0,no_flag,704,0.28,7,0
content_ff80a66b1ea5,client_19581e27de,0,no_flag,498,0.0,104,0
content_6608ee49879a,client_19581e27de,0,no_flag,1378,0.36,104,0
content_191033e9f8ef,client_19581e27de,0,no_flag,1145,0.26,22,0
content_dd43e31efec7,client_7f2253d7e2,0,no_flag,14663,0.26,20,1
content_b2ba04fe6f20,client_4e07408562,0,no_flag,6861,0.26,25,1
content_b14d7b354fca,client_6208ef0f77,0,low_ctr_visible_page,3243,0.03,104,1
content_9ed477a57b1c,client_19581e27de,0,no_flag,49,0.0,22,1
content_c65f7d13bd83,client_349c41201b,0,no_flag,22314,0.3,20,0
content_c05562111bb2,client_4e07408562,0,no_flag,29734,0.21,20,0
content_69ea8e8a316c,client_19581e27de,0,no_flag,434,0.0,22,1
content_2ce85020583b,client_19581e27de,0,no_flag,249,0.0,22,0
content_5f2ad4dd4806,client_4e07408562,0,no_flag,2891,0.14,13,0
content_77e88b0fa138,client_7f2253d7e2,0,low_ctr_visible_page,548,0.0,20,1
content_c26ea743fe05,client_6208ef0f77,0,no_flag,756,0.26,104,0
content_e08f56f4dffc,client_19581e27de,0,no_flag,11382,0.54,104,1
content_5ed82128408f,client_a88a7902cb,0,low_ctr_visible_page,556,0.0,28,1
